,Dead,no AAA,<30 mm,30-35 mm,35-40 mm,40-45 mm,45-50 mm,50-55 mm,55-60 mm,60-65 mm,65-70 mm,70-75 mm,75-80 mm,> 80 mm
Dead,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no AAA,0.09,0.91,0,0,0,0,0,0,0,0,0,0,0,0
<30 mm,0.2,0.1,0.5,0.2,0,0,0,0,0,0,0,0,0,0
30-35 mm,0.21,0.09,0,0.5,0.2,0,0,0,0,0,0,0,0,0
35-40 mm,0.22,0.08,0,0,0.5,0.2,0,0,0,0,0,0,0,0
40-45 mm,0.23,0.07,0,0,0,0.5,0.2,0,0,0,0,0,0,0
45-50 mm,0.24,0.06,0,0,0,0,0.5,0.2,0,0,0,0,0,0
50-55 mm,0.25,0.05,0,0,0,0,0,0.5,0.2,0,0,0,0,0
55-60 mm,0.26,0.04,0,0,0,0,0,0,0.5,0.2,0,0,0,0
60-65 mm,0.27,0.03,0,0,0,0,0,0,0,0.5,0.2,0,0,0
65-70 mm,0.28,0.02,0,0,0,0,0,0,0,0,0.5,0.2,0,0
70-75 mm,0.29,0.01,0,0,0,0,0,0,0,0,0,0.5,0.2,0
75-80 mm,0.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2
> 80 mm,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.69
