,Dead,no AAA,<30 mm,30-35 mm,35-40 mm,40-45 mm,45-50 mm,50-55 mm,55-60 mm,60-65 mm,65-70 mm,70-75 mm,75-80 mm,> 80 mm
Dead,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no AAA,0.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0
<30 mm,0.07,0.93,0,0,0,0,0,0,0,0,0,0,0,0
30-35 mm,0.09,0.91,0,0,0,0,0,0,0,0,0,0,0,0
35-40 mm,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,0
40-45 mm,0.13,0.87,0,0,0,0,0,0,0,0,0,0,0,0
45-50 mm,0.15,0.85,0,0,0,0,0,0,0,0,0,0,0,0
50-55 mm,0.17,0.83,0,0,0,0,0,0,0,0,0,0,0,0
55-60 mm,0.19,0.81,0,0,0,0,0,0,0,0,0,0,0,0
60-65 mm,0.21,0.79,0,0,0,0,0,0,0,0,0,0,0,0
65-70 mm,0.23,0.77,0,0,0,0,0,0,0,0,0,0,0,0
70-75 mm,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0
75-80 mm,0.27,0.73,0,0,0,0,0,0,0,0,0,0,0,0
> 80 mm,0.29,0.71,0,0,0,0,0,0,0,0,0,0,0,0
