Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,219.61704004447486,surveillance
no AAA,31,216.90770639206383,surveillance
no AAA,32,214.42670545063388,surveillance
no AAA,33,212.27518894063388,surveillance
no AAA,34,210.59911894063387,surveillance
no AAA,35,209.6091189406339,surveillance
<30 mm,30,64.50702757771033,surveillance
<30 mm,31,63.58816089931034,surveillance
<30 mm,32,62.68609737931033,surveillance
<30 mm,33,61.82404137931034,surveillance
<30 mm,34,61.05724137931034,surveillance
<30 mm,35,60.51724137931034,surveillance
30-35 mm,30,62.69316765648341,surveillance
30-35 mm,31,61.79943742489933,surveillance
30-35 mm,32,60.92115599249234,surveillance
30-35 mm,33,60.08028085349233,surveillance
30-35 mm,34,59.32997785349232,surveillance
30-35 mm,35,58.79897785349232,surveillance
35-40 mm,30,60.92112455691582,surveillance
35-40 mm,31,60.05203092836411,surveillance
35-40 mm,32,59.197120513212106,surveillance
35-40 mm,33,58.37714412121211,surveillance
35-40 mm,34,57.64321212121211,surveillance
35-40 mm,35,57.12121212121211,surveillance
40-45 mm,30,59.189462170970145,surveillance
40-45 mm,31,58.34451671922343,surveillance
40-45 mm,32,57.51257323113643,surveillance
40-45 mm,33,56.71321611813643,surveillance
40-45 mm,34,55.995529118136425,surveillance
40-45 mm,35,55.48252911813642,surveillance
45-50 mm,30,57.496809856620004,surveillance
45-50 mm,31,56.67553534852043,surveillance
45-50 mm,32,55.866161603368425,surveillance
45-50 mm,33,55.08714694736843,surveillance
45-50 mm,34,54.38557894736843,surveillance
45-50 mm,35,53.881578947368425,surveillance
50-55 mm,30,55.84185872654109,surveillance
50-55 mm,31,55.04378890010672,surveillance
50-55 mm,32,54.256594545731716,surveillance
50-55 mm,33,53.497648170731715,surveillance
50-55 mm,34,52.812073170731715,surveillance
50-55 mm,35,52.31707317073171,surveillance
55-60 mm,30,54.22335818722994,surveillance
55-60 mm,31,53.44803753235432,surveillance
55-60 mm,32,52.682638974482316,surveillance
55-60 mm,33,51.943489350482324,surveillance
55-60 mm,34,51.27378135048231,surveillance
55-60 mm,35,50.787781350482305,surveillance
60-65 mm,30,54.22335818722994,surveillance
60-65 mm,31,53.44803753235432,surveillance
60-65 mm,32,52.682638974482316,surveillance
60-65 mm,33,51.943489350482324,surveillance
60-65 mm,34,51.27378135048231,surveillance
60-65 mm,35,50.787781350482305,surveillance
65-70 mm,30,54.22335818722994,surveillance
65-70 mm,31,53.44803753235432,surveillance
65-70 mm,32,52.682638974482316,surveillance
65-70 mm,33,51.943489350482324,surveillance
65-70 mm,34,51.27378135048231,surveillance
65-70 mm,35,50.787781350482305,surveillance
70-75 mm,30,54.22335818722994,surveillance
70-75 mm,31,53.44803753235432,surveillance
70-75 mm,32,52.682638974482316,surveillance
70-75 mm,33,51.943489350482324,surveillance
70-75 mm,34,51.27378135048231,surveillance
70-75 mm,35,50.787781350482305,surveillance
75-80 mm,30,54.22335818722994,surveillance
75-80 mm,31,53.44803753235432,surveillance
75-80 mm,32,52.682638974482316,surveillance
75-80 mm,33,51.943489350482324,surveillance
75-80 mm,34,51.27378135048231,surveillance
75-80 mm,35,50.787781350482305,surveillance
> 80 mm,30,126.01186124828494,surveillance
> 80 mm,31,124.30588647681972,surveillance
> 80 mm,32,122.69028312398771,surveillance
> 80 mm,33,121.22837265998771,surveillance
> 80 mm,34,120.02784465998772,surveillance
> 80 mm,35,119.27184465998772,surveillance
