Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,603.227644706285,surveillance
no AAA,31,599.2453934532559,surveillance
no AAA,32,595.8870867719658,surveillance
no AAA,33,593.2290545819659,surveillance
no AAA,34,591.3569645819659,surveillance
no AAA,35,590.3669645819659,surveillance
<30 mm,30,361.3925124647582,surveillance
<30 mm,31,359.03902685686154,surveillance
<30 mm,32,357.0636894742616,surveillance
<30 mm,33,355.5127608742616,surveillance
<30 mm,34,354.43816087426154,surveillance
<30 mm,35,353.8981608742616,surveillance
30-35 mm,30,355.3693039236789,surveillance
30-35 mm,31,353.05504307591383,surveillance
30-35 mm,32,351.1126279830239,surveillance
30-35 mm,33,349.5875481930239,surveillance
30-35 mm,34,348.53085819302385,surveillance
30-35 mm,35,347.9998581930239,surveillance
35-40 mm,30,349.3460953825996,surveillance
35-40 mm,31,347.0710592949661,surveillance
35-40 mm,32,345.1615664917862,surveillance
35-40 mm,33,343.6623355117862,surveillance
35-40 mm,34,342.62355551178615,surveillance
35-40 mm,35,342.10155551178616,surveillance
40-45 mm,30,343.3228868415203,surveillance
40-45 mm,31,341.0870755140184,surveillance
40-45 mm,32,339.2105050005485,surveillance
40-45 mm,33,337.7371228305485,surveillance
40-45 mm,34,336.71625283054846,surveillance
40-45 mm,35,336.2032528305485,surveillance
45-50 mm,30,337.29967830044103,surveillance
45-50 mm,31,335.1030917330708,surveillance
45-50 mm,32,333.25944350931087,surveillance
45-50 mm,33,331.81191014931085,surveillance
45-50 mm,34,330.8089501493108,surveillance
45-50 mm,35,330.30495014931086,surveillance
50-55 mm,30,331.2764697593617,surveillance
50-55 mm,31,329.1191079521231,surveillance
50-55 mm,32,327.3083820180732,surveillance
50-55 mm,33,325.8866974680732,surveillance
50-55 mm,34,324.9016474680731,surveillance
50-55 mm,35,324.4066474680732,surveillance
55-60 mm,30,325.25326121828243,surveillance
55-60 mm,31,323.1351241711754,surveillance
55-60 mm,32,321.35732052683545,surveillance
55-60 mm,33,319.96148478683546,surveillance
55-60 mm,34,318.9943447868354,surveillance
55-60 mm,35,318.50834478683544,surveillance
60-65 mm,30,210.8122989377756,surveillance
60-65 mm,31,209.4394323331692,surveillance
60-65 mm,32,208.28715219331926,surveillance
60-65 mm,33,207.38244384331927,surveillance
60-65 mm,34,206.75559384331925,surveillance
60-65 mm,35,206.44059384331925,surveillance
65-70 mm,30,210.8122989377756,surveillance
65-70 mm,31,209.4394323331692,surveillance
65-70 mm,32,208.28715219331926,surveillance
65-70 mm,33,207.38244384331927,surveillance
65-70 mm,34,206.75559384331925,surveillance
65-70 mm,35,206.44059384331925,surveillance
70-75 mm,30,180.6962562323791,surveillance
70-75 mm,31,179.51951342843077,surveillance
70-75 mm,32,178.5318447371308,surveillance
70-75 mm,33,177.7563804371308,surveillance
70-75 mm,34,177.21908043713077,surveillance
70-75 mm,35,176.9490804371308,surveillance
75-80 mm,30,180.6962562323791,surveillance
75-80 mm,31,179.51951342843077,surveillance
75-80 mm,32,178.5318447371308,surveillance
75-80 mm,33,177.7563804371308,surveillance
75-80 mm,34,177.21908043713077,surveillance
75-80 mm,35,176.9490804371308,surveillance
> 80 mm,30,361.3925124647582,surveillance
> 80 mm,31,359.03902685686154,surveillance
> 80 mm,32,357.0636894742616,surveillance
> 80 mm,33,355.5127608742616,surveillance
> 80 mm,34,354.43816087426154,surveillance
> 80 mm,35,353.8981608742616,surveillance
