Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,70.0,surveillance
no AAA,31,69.0,surveillance
no AAA,32,68.0,surveillance
no AAA,33,67.0,surveillance
no AAA,34,66.0,surveillance
no AAA,35,65.0,surveillance
<30 mm,30,135.33105381415413,surveillance
<30 mm,31,133.2656477076866,surveillance
<30 mm,32,131.37099272518662,surveillance
<30 mm,33,129.73042522518662,surveillance
<30 mm,34,128.46792522518663,surveillance
<30 mm,35,127.76792522518663,surveillance
30-35 mm,30,130.6795937259572,surveillance
30-35 mm,31,128.63643444502566,surveillance
30-35 mm,32,126.76114616652569,surveillance
30-35 mm,33,125.13573466652568,surveillance
30-35 mm,34,123.88223466652568,surveillance
30-35 mm,35,123.18223466652569,surveillance
35-40 mm,30,126.21819597956572,surveillance
35-40 mm,31,124.19728352417022,surveillance
35-40 mm,32,122.3413619496702,surveillance
35-40 mm,33,120.73110644967022,surveillance
35-40 mm,34,119.48660644967023,surveillance
35-40 mm,35,118.78660644967023,surveillance
40-45 mm,30,122.24182301331791,surveillance
40-45 mm,31,120.2428875688944,surveillance
40-45 mm,32,118.40633269839441,surveillance
40-45 mm,33,116.8112331983944,surveillance
40-45 mm,34,115.57573319839443,surveillance
40-45 mm,35,114.87573319839443,surveillance
45-50 mm,30,119.47417155445106,surveillance
45-50 mm,31,117.49348614057557,surveillance
45-50 mm,32,115.67499452207555,surveillance
45-50 mm,33,114.09505102207555,surveillance
45-50 mm,34,112.86855102207556,surveillance
45-50 mm,35,112.16855102207556,surveillance
50-55 mm,30,119.66344436990661,surveillance
50-55 mm,31,117.67898803672061,surveillance
50-55 mm,32,115.8641835877206,surveillance
50-55 mm,33,114.2933615877206,surveillance
50-55 mm,34,113.07586158772062,surveillance
50-55 mm,35,112.37586158772062,surveillance
55-60 mm,30,126.9686847167407,surveillance
55-60 mm,31,124.90177668170321,surveillance
55-60 mm,32,123.0226907655432,surveillance
55-60 mm,33,121.4096483255432,surveillance
55-60 mm,34,120.1743283255432,surveillance
55-60 mm,35,119.47432832554321,surveillance
60-65 mm,30,103.57125491381882,surveillance
60-65 mm,31,101.63427884373115,surveillance
60-65 mm,32,99.84935457115114,surveillance
60-65 mm,33,98.31453709115115,surveillance
60-65 mm,34,97.13215709115113,surveillance
60-65 mm,35,96.45215709115114,surveillance
65-70 mm,30,107.04605227857446,surveillance
65-70 mm,31,105.07494847749311,surveillance
65-70 mm,32,103.18253623014311,surveillance
65-70 mm,33,101.46856288014311,surveillance
65-70 mm,34,100.15921288014312,surveillance
65-70 mm,35,99.40921288014312,surveillance
70-75 mm,30,100.575,surgery
70-75 mm,31,99.0,surgery
70-75 mm,32,97.42500000000001,surgery
70-75 mm,33,95.85000000000001,surgery
70-75 mm,34,94.275,surgery
70-75 mm,35,93.375,surgery
75-80 mm,30,104.075,surgery
75-80 mm,31,102.44999999999999,surgery
75-80 mm,32,100.82499999999999,surgery
75-80 mm,33,99.2,surgery
75-80 mm,34,97.57499999999999,surgery
75-80 mm,35,96.625,surgery
> 80 mm,30,107.37732407640678,surveillance
> 80 mm,31,105.52556170722917,surveillance
> 80 mm,32,103.86979137762918,surveillance
> 80 mm,33,102.47326977762918,surveillance
> 80 mm,34,101.4196697776292,surveillance
> 80 mm,35,100.8196697776292,surveillance
